gene_id,chr,type,phenotype,celltype,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000048707.13,1,CellTypeSpecific,DA,adipose,52,44,1,5,0.0909503353028485,0.927532054106655,0.961776269081489,0.336162001057099,0.844066747924394
ENSG00000084676.15,2,CellTypeSpecific,DA,adipose,60,60,4,10,-0.503614624919268,0.614532213352264,-0.360847252795411,0.71821363664522,0.671323977185078
ENSG00000134917.9,11,CellTypeSpecific,DA,adipose,13,13,1,0,1.77681366389333,0.0755989029861299,1.82387929738874,0.0681703221552627,0.0716959512011608
ENSG00000142233.11,19,CellTypeSpecific,DA,adipose,47,47,0,7,3.10288841340216,0.00191641884303255,4.21632683817826,2.48313797370478e-05,4.90275087076948e-05
ENSG00000149054.15,11,CellTypeSpecific,DA,adipose,59,57,4,3,-1.11906313919993,0.263113203816961,0.675464342738426,0.499380798281552,0.362400661981685
ENSG00000198914.3,2,CellTypeSpecific,DA,adipose,30,30,1,2,-1.52264493499101,0.127847561278523,-0.342639541454134,0.731869651029078,0.299041670692844
ENSG00000236036.1,13,CellTypeSpecific,DA,adipose,7,6,0,1,2.30141797233955,0.0213680170139097,1.94908062194708,0.0512857974431325,0.0301855413953541
ENSG00000257800.1,2,CellTypeSpecific,DA,adipose,42,41,1,8,1.833038673207,0.066796820073548,-1.76349421473015,0.0778171721663362,0.0718942568076737
ENSG00000092607.13,1,NonSpecific,DA,adipose,33,33,3,4,-1.74735294470037,0.0805761344351338,-1.74735294470037,0.0805761344351338,0.0805761344351338
ENSG00000103199.13,16,NonSpecific,DA,adipose,55,52,4,7,-1.34297850343574,0.179278934626945,-1.34297850343574,0.179278934626945,0.179278934626945
ENSG00000110092.3,11,NonSpecific,DA,adipose,27,26,1,2,-2.29577870497043,0.0216885376299839,-2.29577870497043,0.0216885376299839,0.0216885376299839
ENSG00000159164.9,1,NonSpecific,DA,adipose,26,13,1,2,4.75540301405996,1.98050923413811e-06,4.75540301405996,1.98050923413811e-06,1.98050923410378e-06
ENSG00000165269.12,9,NonSpecific,DA,adipose,28,25,1,6,1.02444205770371,0.305626525461271,1.02444205770371,0.305626525461271,0.305626525461271
ENSG00000166333.13,11,NonSpecific,DA,adipose,18,17,0,1,0.119115732636747,0.905183666642673,0.119115732636747,0.905183666642673,0.905183666642673
ENSG00000224397.5,20,NonSpecific,DA,adipose,37,36,2,2,4.96904247239957,6.72843324101414e-07,4.96904247239957,6.72843324101414e-07,6.72843324112631e-07
ENSG00000226445.1,6,NonSpecific,DA,adipose,28,27,1,3,1.68212321837984,0.0925449489278256,1.68212321837984,0.0925449489278256,0.0925449489278257
ENSG00000232871.8,19,NonSpecific,DA,adipose,37,37,0,6,6.7460647494913,1.51908849472322e-11,6.7460647494913,1.51908849472322e-11,1.51909140814723e-11
ENSG00000277147.4,1,NonSpecific,DA,adipose,22,8,1,2,-1.1520864770566,0.249285539471176,-1.1520864770566,0.249285539471176,0.249285539471176
ENSG00000048707.13,1,CellTypeSpecific,DA,fibroblast,33,29,0,5,0.0112624962474193,0.991014018097867,0.978773696897371,0.327691808871103,0.981732871795317
ENSG00000092607.13,1,CellTypeSpecific,DA,fibroblast,33,33,3,5,-0.516802267924141,0.605294196714383,-1.4180839525004,0.15616625582336,0.292269632484276
ENSG00000110092.3,11,CellTypeSpecific,DA,fibroblast,44,43,1,5,-1.06656335585567,0.286169055106162,-1.62353371935415,0.10447536122972,0.156606261191791
ENSG00000142233.11,19,CellTypeSpecific,DA,fibroblast,55,55,0,7,4.17212455265989,3.0177259080039e-05,3.36205240888438,0.000773654383290693,5.8088706804816e-05
ENSG00000159164.9,1,CellTypeSpecific,DA,fibroblast,20,11,1,2,-1.12373038428967,0.261127422368371,5.87990518983287,4.10501543093745e-09,8.21003076419345e-09
ENSG00000176920.11,19,CellTypeSpecific,DA,fibroblast,46,46,3,6,-4.89774788750661,9.6941301046788e-07,-5.00247220741643,5.65997439267148e-07,7.1470828095038e-07
ENSG00000183779.6,8,CellTypeSpecific,DA,fibroblast,36,36,0,6,0.375899330492814,0.706991738265361,1.70899525656027,0.0874518281322578,0.198125362500211
ENSG00000257800.1,2,CellTypeSpecific,DA,fibroblast,31,29,2,8,0.446472951717007,0.655255646613916,-0.434419212314962,0.663984048804309,0.659652653702005
ENSG00000277147.4,1,CellTypeSpecific,DA,fibroblast,34,9,0,3,0.532227787161196,0.594568239787757,0.403576511753579,0.686524160802094,0.643729340202494
ENSG00000084676.15,2,NonSpecific,DA,fibroblast,29,29,2,5,-0.153516078101063,0.87799131210169,-0.153516078101063,0.87799131210169,0.87799131210169
ENSG00000103199.13,16,NonSpecific,DA,fibroblast,53,50,3,7,-1.29386095141761,0.195713454563008,-1.29386095141761,0.195713454563008,0.195713454563008
ENSG00000149054.15,11,NonSpecific,DA,fibroblast,53,53,4,1,-0.428439783665906,0.668330965328786,-0.428439783665906,0.668330965328786,0.668330965328786
ENSG00000165269.12,9,NonSpecific,DA,fibroblast,28,25,1,6,0.927596986759388,0.353616661346108,0.927596986759388,0.353616661346108,0.353616661346108
ENSG00000166333.13,11,NonSpecific,DA,fibroblast,36,35,0,3,-0.0240750027803368,0.980792782433856,-0.0240750027803368,0.980792782433856,0.980792782433856
ENSG00000198914.3,2,NonSpecific,DA,fibroblast,25,25,1,1,-3.12688252253321,0.00176670507214456,-3.12688252253321,0.00176670507214456,0.00176670507214455
ENSG00000224397.5,20,NonSpecific,DA,fibroblast,41,40,2,2,4.97983300964833,6.36391607558774e-07,4.97983300964833,6.36391607558774e-07,6.36391607611294e-07
ENSG00000226445.1,6,NonSpecific,DA,fibroblast,30,29,1,3,1.67801603717939,0.0933439682945907,1.67801603717939,0.0933439682945907,0.0933439682945906
ENSG00000232871.8,19,NonSpecific,DA,fibroblast,44,44,0,7,6.51655190389282,7.19419235524898e-11,6.51655190389282,7.19419235524898e-11,7.19419046577904e-11
